TARIH;IHRACAT_MIKTAR1;YIL;AY
1.02.2017;340695;2017;2
1.03.2017;121617;2017;3
1.04.2017;882352;2017;4
1.05.2017;20953221;2017;5
1.06.2017;18630092;2017;6
1.07.2017;18394159;2017;7
1.08.2017;5387531;2017;8
1.09.2017;710284;2017;9
1.10.2017;559109;2017;10
1.11.2017;281344;2017;11
1.12.2017;328665;2017;12
1.01.2018;259857;2018;1
1.02.2018;240638;2018;2
1.03.2018;430579;2018;3
1.04.2018;1706601;2018;4
1.05.2018;25469406;2018;5
1.06.2018;29572651;2018;6
1.07.2018;12850306;2018;7
1.08.2018;1864766;2018;8
1.09.2018;784786;2018;9
1.10.2018;106111;2018;10
1.11.2018;93640;2018;11
1.12.2018;114842;2018;12
1.01.2019;226417;2019;1
1.02.2019;158832;2019;2
1.03.2019;100960;2019;3
1.04.2019;237026;2019;4
1.05.2019;20968911;2019;5
1.06.2019;28050706;2019;6
1.07.2019;15655130;2019;7
1.08.2019;2851591;2019;8
1.09.2019;466725;2019;9
1.10.2019;174193;2019;10
1.11.2019;109240;2019;11
1.12.2019;80120;2019;12
1.01.2020;65435;2020;1
1.02.2020;142479;2020;2
1.03.2020;403348;2020;3
1.04.2020;911098;2020;4
1.05.2020;21472786;2020;5
1.06.2020;21881971;2020;6
1.07.2020;19507968;2020;7
1.08.2020;3063692;2020;8
1.09.2020;466582;2020;9
1.10.2020;250141;2020;10
1.11.2020;390220;2020;11
1.12.2020;315223;2020;12
